timestamp,pier_id,longitudinal_in,transverse_in
2022-06-01 00:00:00.000000000,E1,0.0708,0.0454
2022-06-01 00:00:00.000000000,E2,0.0311,-0.0161
2022-06-01 00:00:00.000000000,E3,0.0398,-0.0266
2022-06-01 09:26:49.302325581,E3,-0.0485,0.0008
2022-06-01 09:35:04.631517623,E2,0.0284,-0.0109
2022-06-01 18:53:38.604651162,E3,-0.0678,0.0446
2022-06-01 19:10:09.263035246,E2,0.0652,-0.024
2022-06-01 21:43:43.163467902,E1,0.0805,0.0291
2022-06-02 04:20:27.906976744,E3,0.0262,0.0067
2022-06-02 04:45:13.894552869,E2,0.1156,0.0273
2022-06-02 13:47:17.209302325,E3,0.0344,-0.0295
2022-06-02 14:20:18.526070492,E2,0.0691,-0.0285
2022-06-02 19:27:26.326935804,E1,0.1073,-0.0011
2022-06-02 23:14:06.511627906,E3,-0.0454,0.0689
2022-06-02 23:55:23.157588115,E2,0.1557,-0.0044
2022-06-03 08:40:55.813953488,E3,0.0395,0.0572
2022-06-03 09:30:27.789105738,E2,0.0415,0.0147
2022-06-03 17:11:09.490403706,E1,0.053,-0.0137
2022-06-03 18:07:45.116279069,E3,0.0964,0.0201
2022-06-03 19:05:32.420623361,E2,0.0877,0.0535
2022-06-04 03:34:34.418604651,E3,0.0609,0.044
2022-06-04 04:40:37.052140984,E2,0.0622,0.0056
2022-06-04 13:01:23.720930232,E3,0.0529,-0.0015
2022-06-04 14:15:41.683658607,E2,0.1111,-0.0007
2022-06-04 14:54:52.653871608,E1,0.0554,0.0072
2022-06-04 22:28:13.023255813,E3,0.0089,0.0289
2022-06-04 23:50:46.315176230,E2,0.0445,0.0155
2022-06-05 07:55:02.325581395,E3,-0.0291,-0.0048
2022-06-05 09:25:50.946693853,E2,0.1819,-0.0542
2022-06-05 12:38:35.817339510,E1,0.1193,0.0259
2022-06-05 17:21:51.627906976,E3,-0.0099,-0.032
2022-06-05 19:00:55.578211476,E2,0.003,-0.0272
2022-06-06 02:48:40.930232558,E3,0.0148,0.0871
2022-06-06 04:36:00.209729099,E2,0.1753,-0.0018
2022-06-06 10:22:18.980807412,E1,0.0992,0.0346
2022-06-06 12:15:30.232558139,E3,-0.0703,-0.0321
2022-06-06 14:11:04.841246723,E2,0.0961,-0.0112
2022-06-06 21:42:19.534883720,E3,-0.046,0.0197
2022-06-06 23:46:09.472764346,E2,0.1213,-0.0371
2022-06-07 07:09:08.837209302,E3,-0.0791,0.0201
2022-06-07 08:06:02.144275314,E1,0.0856,0.0303
2022-06-07 09:21:14.104281969,E2,0.1626,0.0374
2022-06-07 16:35:58.139534883,E3,0.0039,0.0277
2022-06-07 18:56:18.735799592,E2,0.1409,0.0202
2022-06-08 02:02:47.441860465,E3,-0.0039,0.0103
2022-06-08 04:31:23.367317215,E2,0.0638,0.0173
2022-06-08 05:49:45.307743216,E1,0.1074,0.0096
2022-06-08 11:29:36.744186046,E3,-0.0409,0.0113
2022-06-08 14:06:27.998834838,E2,0.1326,-0.007
2022-06-08 20:56:26.046511627,E3,0.0326,0.0185
2022-06-08 23:41:32.630352461,E2,0.1983,0.017
2022-06-09 03:33:28.471211118,E1,0.1972,0.0385
2022-06-09 06:23:15.348837209,E3,-0.0609,0.0295
2022-06-09 09:16:37.261870084,E2,0.063,0.0307
2022-06-09 15:50:04.651162790,E3,-0.0433,0.0158
2022-06-09 18:51:41.893387707,E2,0.2157,0.0081
2022-06-10 01:16:53.953488372,E3,0.03,0.0145
2022-06-10 01:17:11.634679020,E1,0.1015,0.0544
2022-06-10 04:26:46.524905330,E2,0.1316,0.0301
2022-06-10 10:43:43.255813953,E3,0.0372,-0.0224
2022-06-10 14:01:51.156422953,E2,0.0932,-0.0064
2022-06-10 20:10:32.558139534,E3,-0.0492,0.0784
2022-06-10 23:00:54.798146922,E1,0.1066,0.0446
2022-06-10 23:36:55.787940576,E2,0.0728,0.0211
2022-06-11 05:37:21.860465116,E3,0.0019,0.0347
2022-06-11 09:12:00.419458199,E2,0.109,0.0532
2022-06-11 15:04:11.162790697,E3,-0.0488,0.0256
2022-06-11 18:47:05.050975822,E2,0.0252,0.0566
2022-06-11 20:44:37.961614824,E1,0.0516,0.0189
2022-06-12 00:31:00.465116279,E3,-0.02,0.0013
2022-06-12 04:22:09.682493446,E2,0.105,0.0602
2022-06-12 09:57:49.767441860,E3,-0.0031,-0.0093
2022-06-12 13:57:14.314011069,E2,0.1154,0.0296
2022-06-12 18:28:21.125082726,E1,0.1421,-0.0036
2022-06-12 19:24:39.069767441,E3,0.0175,0.0473
2022-06-12 23:32:18.945528692,E2,0.0778,0.0227
2022-06-13 04:51:28.372093023,E3,0.0051,0.0174
2022-06-13 09:07:23.577046315,E2,0.1719,0.009
2022-06-13 14:18:17.674418604,E3,0.0026,0.0415
2022-06-13 16:12:04.288550628,E1,0.1846,-0.0027
2022-06-13 18:42:28.208563938,E2,0.1266,-0.031
2022-06-13 23:45:06.976744186,E3,-0.0652,-0.017
2022-06-14 04:17:32.840081561,E2,0.1089,-0.0164
2022-06-14 09:11:56.279069767,E3,0.0079,0.0707
2022-06-14 13:52:37.471599184,E2,0.1276,0.0196
2022-06-14 13:55:47.452018530,E1,0.2015,0.0043
2022-06-14 18:38:45.581395348,E3,0.0158,0.052
2022-06-14 23:27:42.103116807,E2,0.1649,0.0221
2022-06-15 04:05:34.883720930,E3,0.0224,0.0233
2022-06-15 09:02:46.734634430,E2,0.1541,0.0684
2022-06-15 11:39:30.615486432,E1,0.1734,0.034
2022-06-15 13:32:24.186046511,E3,-0.0483,0.0404
2022-06-15 18:37:51.366152053,E2,0.1188,0.0662
2022-06-15 22:59:13.488372093,E3,0.0332,0.0493
2022-06-16 04:12:55.997669676,E2,0.1636,0.0069
2022-06-16 08:26:02.790697674,E3,-0.0787,-0.0123
2022-06-16 09:23:13.778954334,E1,0.2245,0.0435
2022-06-16 13:48:00.629187299,E2,0.1583,0.0527
2022-06-16 17:52:52.093023255,E3,-0.0347,0.0788
2022-06-16 23:23:05.260704922,E2,0.1075,0.0146
2022-06-17 03:19:41.395348837,E3,-0.0272,0.0437
2022-06-17 07:06:56.942422236,E1,0.2225,-0.0129
2022-06-17 08:58:09.892222546,E2,0.1537,0.05
2022-06-17 12:46:30.697674418,E3,-0.0769,0.0087
2022-06-17 18:33:14.523740169,E2,0.2009,0.0544
2022-06-17 22:13:20.000000000,E3,-0.0286,-0.0024
2022-06-18 04:08:19.155257792,E2,0.2044,0.0682
2022-06-18 04:50:40.105890139,E1,0.2512,0.016
2022-06-18 07:40:09.302325581,E3,-0.0033,0.0608
2022-06-18 13:43:23.786775415,E2,0.1683,0.0169
2022-06-18 17:06:58.604651162,E3,-0.106,0.0382
2022-06-18 23:18:28.418293038,E2,0.2176,0.0628
2022-06-19 02:33:47.906976744,E3,-0.0347,0.0471
2022-06-19 02:34:23.269358041,E1,0.2549,0.04
2022-06-19 08:53:33.049810661,E2,0.1389,-0.0231
2022-06-19 12:00:37.209302325,E3,-0.1028,0.0341
2022-06-19 18:28:37.681328284,E2,0.1447,0.0726
2022-06-19 21:27:26.511627907,E3,0.0864,0.0039
2022-06-20 00:18:06.432825943,E1,0.2947,0.0072
2022-06-20 04:03:42.312845907,E2,0.1838,0.0337
2022-06-20 06:54:15.813953488,E3,-0.0054,0.0499
2022-06-20 13:38:46.944363530,E2,0.2756,0.035
2022-06-20 16:21:05.116279069,E3,-0.0101,0.0294
2022-06-20 22:01:49.596293845,E1,0.2189,0.0488
2022-06-20 23:13:51.575881153,E2,0.2134,-0.0253
2022-06-21 01:47:54.418604651,E3,-0.0051,0.0353
2022-06-21 08:48:56.207398776,E2,0.196,0.0248
2022-06-21 11:14:43.720930232,E3,0.0131,0.108
2022-06-21 18:24:00.838916399,E2,0.2917,0.0778
2022-06-21 19:45:32.759761747,E1,0.1726,0.0281
2022-06-21 20:41:33.023255814,E3,0.0314,0.0634
2022-06-22 03:59:05.470434022,E2,0.2049,0.025
2022-06-22 06:08:22.325581395,E3,-0.096,0.0658
2022-06-22 13:34:10.101951645,E2,0.3358,0.0599
2022-06-22 15:35:11.627906976,E3,0.0473,0.1203
2022-06-22 17:29:15.923229649,E1,0.2844,0.0172
2022-06-22 23:09:14.733469268,E2,0.2035,0.0402
2022-06-23 01:02:00.930232558,E3,0.0436,0.0509
2022-06-23 08:44:19.364986892,E2,0.1835,0.0717
2022-06-23 10:28:50.232558139,E3,-0.0224,0.0436
